Name,BAN,ENG,ICT,Phy,Che,Bio,Math
PA173NXBD,,15.0,13.0,12.0,8.0,16.0,12.0
PA176JHDN,16.0,14.0,10.0,11.0,11.0,,9.0
PA179KMDJ,13.0,19.0,,7.0,15.0,18.0,16.0
PA180UJKH,16.0,15.0,16.0,14.0,14.0,18.0,7.0
PA181LMKJ,13.0,10.0,,,12.0,10.0,7.0
PA184HNJK,19.0,14.0,11.0,16.0,,17.0,12.0
PA187MFKD,18.0,18.0,15.0,17.0,18.0,18.0,18.0
PA188MDJF,17.0,12.0,,15.0,16.0,19.0,15.0
PA191JDKS,14.0,15.0,10.0,10.0,13.0,10.0,7.0
PA194KLDS,15.0,8.0,,12.0,12.0,14.0,9.0
PA195JSKD,17.0,16.0,17.0,13.0,11.0,16.0,9.0
PA197ZASH,18.0,15.0,9.0,14.0,15.0,16.0,8.0
PA198MSND,16.0,14.0,16.0,17.0,17.0,18.0,16.0
PA199MDNF,,12.0,,17.0,17.0,13.0,18.0
PA200LAKS,15.0,15.0,9.0,16.0,17.0,15.0,15.0
PA208NDMS,17.0,14.0,6.0,8.0,15.0,11.0,9.0
PA213WERT,11.0,15.0,7.0,17.0,18.0,17.0,
PA214IUYR,17.0,17.0,15.0,17.0,18.0,18.0,17.0
PA216KAlS,10.0,15.0,11.0,15.0,17.0,16.0,
PA218HDJS,12.0,10.0,5.0,8.0,,11.0,
pa222mdjs,10.0,15.0,10.0,9.0,12.0,9.0,4.0
PA228HFJS,18.0,15.0,16.0,18.0,16.0,16.0,18.0
PA229HFDN,16.0,16.0,,15.0,14.0,13.0,
PL289KSJS,18.0,17.0,15.0,15.0,17.0,15.0,10.0
PL290LKDM,15.0,15.0,15.0,12.0,9.0,12.0,6.0
PL291HDNS,13.0,17.0,10.0,13.0,11.0,,2.0
PL294LSKD,13.0,11.0,12.0,6.0,13.0,12.0,7.0
PL301KSJD,12.0,,6.0,14.0,14.0,14.0,10.0
PL304MFND,17.0,13.0,3.0,2.0,15.0,15.0,2.0
PL306AKSL,18.0,18.0,13.0,13.0,12.0,14.0,6.0
